259.27, 83.63, 0.02
259.50, 83.64, 0.02
259.69, 83.64, 0.02
259.86, 83.64, 0.02
260.02, 83.65, 0.02
260.16, 83.65, 0.02
260.30, 83.65, 0.03
260.36, 83.65, 0.05
260.36, 83.65, 0.08
260.41, 83.66, 0.10
260.61, 83.68, 0.11
260.72, 83.69, 0.13
260.61, 83.68, 0.15
260.63, 83.68, 0.17
260.80, 83.71, 0.19
260.96, 83.74, 0.21
261.07, 83.77, 0.23
261.10, 83.77, 0.25
261.07, 83.77, 0.27
261.12, 83.78, 0.29
261.18, 83.80, 0.30
261.18, 83.80, 0.32
261.26, 83.83, 0.34
261.31, 83.84, 0.36
261.36, 83.87, 0.38
261.36, 83.87, 0.40
261.41, 83.89, 0.42
261.31, 83.84, 0.44
261.36, 83.87, 0.46
261.48, 83.93, 0.48
261.53, 83.95, 0.50
261.51, 83.94, 0.52
261.56, 83.97, 0.54
261.53, 83.95, 0.55
261.58, 83.98, 0.57
261.63, 84.01, 0.60
261.63, 84.01, 0.62
261.60, 84.00, 0.64
261.63, 84.01, 0.65
261.65, 84.03, 0.67
261.58, 83.98, 0.69
261.54, 83.94, 0.71
261.54, 83.94, 0.73
261.64, 84.04, 0.75
261.72, 84.11, 0.78
261.78, 84.17, 0.80
261.80, 84.19, 0.82
261.71, 84.09, 0.83
261.71, 84.09, 0.85
261.78, 84.18, 0.88
261.82, 84.22, 0.90
261.88, 84.31, 0.91
261.83, 84.24, 0.93
261.72, 84.08, 0.95
261.67, 84.01, 0.97
261.75, 84.13, 0.99
261.85, 84.29, 1.02
261.85, 84.29, 1.04
261.77, 84.15, 1.05
261.78, 84.17, 1.07
261.83, 84.27, 1.09
261.86, 84.32, 1.12
261.86, 84.32, 1.14
261.84, 84.27, 1.16
261.84, 84.27, 1.17
261.86, 84.32, 1.19
261.88, 84.37, 1.21
261.81, 84.19, 1.23
261.80, 84.17, 1.25
261.82, 84.22, 1.27
261.83, 84.27, 1.30
261.86, 84.35, 1.32
261.87, 84.41, 1.34
261.87, 84.41, 1.36
261.86, 84.35, 1.38
261.85, 84.32, 1.40
261.86, 84.35, 1.42
261.91, 84.68, 1.43
262.03, 85.51, 1.43
262.18, 86.55, 1.43
262.33, 87.60, 1.42
262.46, 88.51, 1.42
262.60, 89.41, 1.42
262.74, 90.38, 1.43
262.87, 91.28, 1.42
263.01, 92.25, 1.42
263.15, 93.18, 1.43
263.29, 94.14, 1.43
263.43, 95.08, 1.43
263.55, 95.93, 1.43
263.68, 96.84, 1.43
263.84, 97.94, 1.43
263.99, 98.99, 1.43
264.13, 99.98, 1.43
264.26, 100.91, 1.43
264.37, 101.74, 1.43
264.51, 102.73, 1.43
264.65, 103.72, 1.44
264.77, 104.66, 1.44
264.91, 105.70, 1.44
265.04, 106.72, 1.45
265.17, 107.75, 1.45
265.28, 108.68, 1.45
265.39, 109.62, 1.45
265.51, 110.62, 1.46
265.62, 111.58, 1.46
265.72, 112.55, 1.46
265.83, 113.52, 1.47
265.93, 114.46, 1.47
266.03, 115.45, 1.47
266.13, 116.50, 1.48
266.21, 117.36, 1.48
266.30, 118.36, 1.48
266.40, 119.44, 1.49
266.48, 120.44, 1.49
266.55, 121.29, 1.49
266.62, 122.18, 1.50
266.70, 123.29, 1.50
266.77, 124.34, 1.50
266.83, 125.37, 1.51
266.89, 126.31, 1.51
266.94, 127.31, 1.52
267.00, 128.40, 1.52
267.04, 129.40, 1.53
267.08, 130.26, 1.53
267.11, 131.15, 1.53
267.15, 132.26, 1.54
267.18, 133.37, 1.55
267.21, 134.48, 1.55
267.22, 135.42, 1.56
267.23, 136.42, 1.56
267.24, 137.34, 1.56
267.25, 138.37, 1.57
267.24, 139.40, 1.57
267.24, 140.37, 1.58
267.23, 141.29, 1.58
267.21, 142.29, 1.59
267.19, 143.32, 1.59
267.17, 144.24, 1.60
267.14, 145.24, 1.60
267.11, 146.29, 1.61
267.07, 147.32, 1.61
267.03, 148.24, 1.61
266.99, 149.21, 1.62
266.93, 150.26, 1.62
266.88, 151.21, 1.63
266.82, 152.23, 1.63
266.76, 153.15, 1.64
266.69, 154.17, 1.64
266.62, 155.26, 1.65
266.54, 156.28, 1.65
266.46, 157.17, 1.65
266.38, 158.19, 1.66
266.30, 159.13, 1.66
266.21, 160.07, 1.66
266.11, 161.13, 1.67
266.00, 162.26, 1.67
265.90, 163.20, 1.68
265.80, 164.11, 1.68
265.68, 165.22, 1.68
265.56, 166.21, 1.69
265.44, 167.29, 1.69
265.31, 168.31, 1.69
265.19, 169.27, 1.70
265.06, 170.24, 1.70
264.94, 171.20, 1.70
264.80, 172.22, 1.70
264.67, 173.19, 1.71
264.56, 174.04, 1.71
264.42, 175.06, 1.71
264.26, 176.19, 1.71
264.11, 177.21, 1.71
263.98, 178.17, 1.71
263.84, 179.11, 1.72
263.69, 180.12, 1.72
263.54, 181.11, 1.72
263.40, 182.08, 1.72
263.26, 183.07, 1.72
263.12, 184.00, 1.72
262.96, 185.02, 1.72
262.82, 186.01, 1.72
262.67, 187.00, 1.72
262.53, 187.96, 1.72
262.37, 188.98, 1.72
262.25, 189.80, 1.72
262.09, 190.87, 1.72
261.93, 192.00, 1.72
261.78, 193.02, 1.72
261.64, 193.98, 1.72
261.51, 194.86, 1.72
261.36, 195.88, 1.71
261.23, 196.84, 1.71
261.09, 197.81, 1.71
260.94, 198.88, 1.71
260.80, 199.93, 1.70
260.67, 200.97, 1.70
260.54, 201.99, 1.70
260.42, 202.93, 1.69
260.30, 203.87, 1.69
260.19, 204.78, 1.69
260.06, 205.86, 1.69
259.94, 206.93, 1.68
259.83, 207.90, 1.68
259.73, 208.87, 1.68
259.63, 209.81, 1.67
259.55, 210.69, 1.67
259.44, 211.80, 1.66
259.34, 212.88, 1.66
259.26, 213.82, 1.66
259.17, 214.85, 1.65
259.08, 215.90, 1.65
259.01, 216.79, 1.65
258.94, 217.73, 1.65
258.87, 218.73, 1.64
258.79, 219.86, 1.63
258.73, 220.92, 1.63
258.67, 221.97, 1.62
258.62, 222.97, 1.62
258.58, 223.89, 1.61
258.55, 224.75, 1.61
258.51, 225.67, 1.61
258.47, 226.78, 1.60
258.45, 227.89, 1.59
258.43, 229.00, 1.58
258.42, 229.95, 1.58
258.41, 230.89, 1.57
258.41, 231.92, 1.57
258.41, 232.95, 1.56
258.42, 233.89, 1.56
258.43, 234.78, 1.56
258.45, 235.70, 1.55
258.47, 236.81, 1.55
258.50, 237.81, 1.54
258.53, 238.89, 1.53
258.57, 239.92, 1.53
258.62, 240.81, 1.52
258.66, 241.75, 1.52
258.73, 242.84, 1.51
258.78, 243.89, 1.52
258.84, 244.92, 1.51
258.91, 245.89, 1.50
